id,home_team_id,away_team_id,poss_home,poss_away,shots_ot_home,shots_total_home,shots_ot_away,shots_total_away,saves_home,saves_away,cards_home,cards_away
69120326331271,TEAM-1C981597,TEAM-782246EA,44,56,3,13,6,18,5,2,0,0
133721547304901,TEAM-839B22B8,TEAM-3E37DB98,47,53,7,16,3,7,3,4,0,0
27391270321084,TEAM-93330B41,TEAM-B2118D2C,53,47,8,18,5,14,5,6,0,0
152078070885886,TEAM-51EA86E0,TEAM-F53424F0,51,49,2,9,6,14,3,2,0,0
218009564880358,TEAM-27AC674B,TEAM-550D05AB,21,80,5,14,5,19,2,5,0,0
36014485551528,TEAM-A4EC0F45,TEAM-A415D192,47,54,6,18,8,18,8,2,0,0
189983524250623,TEAM-7C631724,TEAM-7273A887,49,51,8,19,3,15,3,4,0,0
77248874686176,TEAM-0587F59E,TEAM-D069E7F8,65,35,7,17,5,10,3,6,0,0
246802500144824,TEAM-A415D192,TEAM-7273A887,60,40,4,13,4,12,3,3,0,0
80106586136167,TEAM-720795A0,TEAM-BDDFCDFA,40,60,6,12,5,16,4,2,0,0
262558802025525,TEAM-839B22B8,TEAM-0587F59E,49,51,4,11,6,16,5,3,0,0
42089493261609,TEAM-A4EC0F45,TEAM-27AC674B,78,22,2,15,4,12,1,1,0,0
5927245218557,TEAM-D069E7F8,TEAM-550D05AB,31,69,7,14,6,15,4,6,0,0
22651788528907,TEAM-B2118D2C,TEAM-1C981597,65,36,7,15,4,6,1,6,0,0
73838000687415,TEAM-93330B41,TEAM-7C631724,61,39,9,19,5,13,4,4,0,0
85885216035168,TEAM-0E077100,TEAM-51EA86E0,49,51,2,9,4,9,3,1,0,0
271983229253589,TEAM-3E37DB98,TEAM-0FF29040,57,43,7,18,6,18,5,6,0,0
217927695836100,TEAM-782246EA,TEAM-F53424F0,45,55,8,18,2,10,1,7,0,0
7319209009324,TEAM-7273A887,TEAM-782246EA,43,57,3,6,5,12,3,2,0,0
27836622027224,TEAM-0FF29040,TEAM-7C631724,42,58,3,13,6,15,5,2,0,0
134879013270729,TEAM-27AC674B,TEAM-3E37DB98,44,56,4,11,5,16,4,1,0,0
146753782725831,TEAM-51EA86E0,TEAM-839B22B8,46,54,4,8,0,12,0,3,0,0
174114872050505,TEAM-BDDFCDFA,TEAM-A4EC0F45,39,61,4,16,1,5,0,3,0,0
17797721164414,TEAM-A415D192,TEAM-0E077100,53,47,5,14,2,9,1,3,0,0
195067591372973,TEAM-1C981597,TEAM-D069E7F8,49,51,2,8,3,19,2,1,0,0
57154172260964,TEAM-B2118D2C,TEAM-720795A0,59,41,2,7,7,9,6,2,0,0
97513167405980,TEAM-D069E7F8,TEAM-51EA86E0,49,51,2,14,4,7,2,2,0,0
120639064914438,TEAM-93330B41,TEAM-1C981597,70,30,11,26,0,10,0,9,0,0
100507923486561,TEAM-0E077100,TEAM-0587F59E,51,49,9,17,11,21,9,5,0,0
241289403551744,TEAM-839B22B8,TEAM-0FF29040,51,49,5,16,5,13,3,2,0,0
140509386351702,TEAM-7C631724,TEAM-27AC674B,60,40,6,15,3,9,3,4,0,0
49981878868916,TEAM-7273A887,TEAM-BDDFCDFA,55,45,3,14,1,7,0,3,0,0
114188927341603,TEAM-F53424F0,TEAM-3E37DB98,54,46,6,23,0,8,0,4,0,0
151807189121311,TEAM-720795A0,TEAM-A415D192,49,51,7,11,3,14,3,4,0,0
229214180995221,TEAM-782246EA,TEAM-550D05AB,27,73,6,7,9,25,8,3,0,0
265862638998493,TEAM-A4EC0F45,TEAM-B2118D2C,50,50,5,10,8,25,6,3,0,0
122764594323375,TEAM-1C981597,TEAM-A4EC0F45,42,58,6,26,3,6,1,2,0,0
249209640712975,TEAM-A415D192,TEAM-839B22B8,67,33,4,11,5,14,3,3,0,0
