match_id,team_id,side,possession,shots_on_target,shots_total,saves,cards
180603293315389,TEAM-A4EC0F45,HOME,58,6,11,4,0
180603293315389,TEAM-51EA86E0,AWAY,42,50,4,50,0
2981099111893,TEAM-BDDFCDFA,HOME,48,3,11,1,0
2981099111893,TEAM-B2118D2C,AWAY,52,25,1,66,0
226253330782479,TEAM-D069E7F8,HOME,37,2,9,2,0
226253330782479,TEAM-A415D192,AWAY,64,33,2,50,0
248180254415866,TEAM-93330B41,HOME,58,7,23,3,0
248180254415866,TEAM-720795A0,AWAY,42,71,5,100,0
271746510263835,TEAM-839B22B8,HOME,41,6,14,4,0
271746510263835,TEAM-1C981597,AWAY,59,45,5,66,0
22708260528459,TEAM-782246EA,HOME,47,4,9,1,0
22708260528459,TEAM-51EA86E0,AWAY,53,21,3,75,0
42666257678967,TEAM-BDDFCDFA,AWAY,54,15,2,66,0
239227505105338,TEAM-0E077100,HOME,42,8,15,0,0
239227505105338,TEAM-A4EC0F45,AWAY,58,0,0,62,0
132554873973078,TEAM-550D05AB,HOME,80,7,24,2,0
132554873973078,TEAM-839B22B8,AWAY,20,67,2,71,0
176960838690839,TEAM-7273A887,HOME,56,1,11,3,0
176960838690839,TEAM-D069E7F8,AWAY,44,67,4,100,0
39897857430038,TEAM-B2118D2C,HOME,56,7,13,1,0
39897857430038,TEAM-0FF29040,AWAY,44,25,1,42,0
279785200613578,TEAM-720795A0,HOME,50,2,5,1,0
279785200613578,TEAM-0587F59E,AWAY,50,14,2,0,0
245703247296334,TEAM-93330B41,AWAY,48,46,6,50,0
166177493963192,TEAM-A415D192,HOME,59,7,23,6,0
166177493963192,TEAM-7C631724,AWAY,41,46,6,100,0
192878076068502,TEAM-BDDFCDFA,HOME,71,2,17,1,0
192878076068502,TEAM-0E077100,AWAY,29,50,2,50,0
74680842636688,TEAM-0FF29040,HOME,56,3,10,2,0
74680842636688,TEAM-720795A0,AWAY,44,33,2,100,0
69120326331271,TEAM-1C981597,HOME,44,3,13,5,0
69120326331271,TEAM-782246EA,AWAY,56,33,6,66,0
133721547304901,TEAM-839B22B8,HOME,47,7,16,3,0
27391270321084,TEAM-93330B41,HOME,53,8,18,5,0
27391270321084,TEAM-B2118D2C,AWAY,47,36,5,75,0
152078070885886,TEAM-51EA86E0,HOME,51,2,9,3,0
218009564880358,TEAM-27AC674B,HOME,21,5,14,2,0
218009564880358,TEAM-550D05AB,AWAY,80,26,5,100,0
36014485551528,TEAM-A4EC0F45,HOME,47,6,18,8,0
36014485551528,TEAM-A415D192,AWAY,54,44,8,33,0
189983524250623,TEAM-7C631724,HOME,49,8,19,3,0
189983524250623,TEAM-7273A887,AWAY,51,20,3,50,0
77248874686176,TEAM-0587F59E,HOME,65,7,17,3,0
77248874686176,TEAM-D069E7F8,AWAY,35,50,5,85,0
246802500144824,TEAM-A415D192,HOME,60,4,13,3,0
246802500144824,TEAM-7273A887,AWAY,40,33,4,75,0
80106586136167,TEAM-720795A0,HOME,40,6,12,4,0
80106586136167,TEAM-BDDFCDFA,AWAY,60,31,5,33,0
262558802025525,TEAM-839B22B8,HOME,49,4,11,5,0
262558802025525,TEAM-0587F59E,AWAY,51,38,6,75,0
42089493261609,TEAM-A4EC0F45,HOME,78,2,15,1,0
42089493261609,TEAM-27AC674B,AWAY,22,33,4,50,0
5927245218557,TEAM-D069E7F8,HOME,31,7,14,4,0
5927245218557,TEAM-550D05AB,AWAY,69,40,6,85,0
22651788528907,TEAM-B2118D2C,HOME,65,7,15,1,0
22651788528907,TEAM-1C981597,AWAY,36,67,4,85,0
73838000687415,TEAM-93330B41,HOME,61,9,19,4,0
73838000687415,TEAM-7C631724,AWAY,39,38,5,44,0
85885216035168,TEAM-0E077100,HOME,49,2,9,3,0
85885216035168,TEAM-51EA86E0,AWAY,51,44,4,50,0
271983229253589,TEAM-0FF29040,AWAY,43,33,6,85,0
217927695836100,TEAM-782246EA,HOME,45,8,18,1,0
7319209009324,TEAM-7273A887,HOME,43,3,6,3,0
7319209009324,TEAM-782246EA,AWAY,57,42,5,66,0
27836622027224,TEAM-0FF29040,HOME,42,3,13,5,0
27836622027224,TEAM-7C631724,AWAY,58,40,6,66,0
134879013270729,TEAM-27AC674B,HOME,44,4,11,4,0
146753782725831,TEAM-51EA86E0,HOME,46,4,8,0,0
146753782725831,TEAM-839B22B8,AWAY,54,0,0,75,0
174114872050505,TEAM-BDDFCDFA,HOME,39,4,16,0,0
174114872050505,TEAM-A4EC0F45,AWAY,61,20,1,75,0
17797721164414,TEAM-A415D192,HOME,53,5,14,1,0
17797721164414,TEAM-0E077100,AWAY,47,22,2,60,0
195067591372973,TEAM-1C981597,HOME,49,2,8,2,0
195067591372973,TEAM-D069E7F8,AWAY,51,16,3,50,0
57154172260964,TEAM-B2118D2C,HOME,59,2,7,6,0
57154172260964,TEAM-720795A0,AWAY,41,78,7,100,0
97513167405980,TEAM-D069E7F8,HOME,49,2,14,2,0
97513167405980,TEAM-51EA86E0,AWAY,51,57,4,100,0
120639064914438,TEAM-93330B41,HOME,70,11,26,0,0
120639064914438,TEAM-1C981597,AWAY,30,0,0,81,0
100507923486561,TEAM-0E077100,HOME,51,9,17,9,0
100507923486561,TEAM-0587F59E,AWAY,49,52,11,55,0
241289403551744,TEAM-839B22B8,HOME,51,5,16,3,0
